#,_id,author,created,id,repoInfo,text
1,655084d1a86bf372d4391d4e,hack_git,2023-11-11T12:14:17.000Z,1723313191763984563,"{issues=0, cloneDir=./data/CVE-2021-43609-POC, ownerName=d5sec, repoName=CVE-2021-43609-POC, stars=4, forks=1}","CVE-2021-43609

A SQLi in a sort parameter of Spiceworks. The full exploit chain is SQLi -&gt; file read -&gt; RCE.

https://t.co/5DwmM2aoRa

#cve #cybersecurity #infosec https://t.co/1tg4q9qrE7"
2,655084d6a86bf372d4391d4f,francescofaenzi,2023-11-11T05:21:10.000Z,1723209228910006599,"{forks=9, issues=0, cloneDir=./data/PatchaPalooza, ownerName=xaitax, repoName=PatchaPalooza, stars=118}","#microsoft #patchmanagement #patchtuesday #CVE #exploit
#TrustEverybodyButCutTheCards

https://t.co/mNPEZSGkkm
https://t.co/15WLn7VYwt https://t.co/dlOLmuhAZm"
3,655084e7a86bf372d4391d50,DhiyaneshDK,2023-11-09T20:43:37.000Z,1722716597154873773,"{ownerName=projectdiscovery, repoName=nuclei-templates, stars=7245, forks=2225, issues=139, cloneDir=./data/nuclei-templates}","🚨Checkout the newly added #CVE Nuclei Templates !

[CVE-2020-24701] OX Appsuite - XSS
[CVE-2022-35653] Moodle LTI module - XSS
[CVE-2023-1719] Bitrix Component - XSS

https://t.co/9n0mfnNTUR

#bugbounty #xss #cve #pdteam #hackwithautomation https://t.co/zRGHPMMspy"
4,655084e9a86bf372d4391d51,TodayCyberNews,2023-11-09T10:23:30.000Z,1722560539547840543,"{cloneDir=./data/CVE-2023-46604, ownerName=sule01u, repoName=CVE-2023-46604, stars=19, forks=4, issues=0}","☄️ CVE-2023-46604: Apache ActiveMQ RCE

The vulnerability allows arbitrary shell commands to be executed using serialized class types in the OpenWire protocol 👺

 📣 Link to PoC:
https://t.co/jeieLiNsgk

#cve #rce #exploit #Cybersecurity #infosec"
5,65508506a86bf372d4391d52,0xor0ne,2023-11-09T08:00:38.000Z,1722524582807011597,"{cloneDir=./data/linux_kernel_cves, ownerName=nluedtke, repoName=linux_kernel_cves, stars=680, forks=65, issues=69}","Project that keeps track of upstream Linux kernel CVEs:

https://t.co/YTvATpUJKe
Github Repository: https://t.co/t1FdkzYdfS

#Linux #kernel #cve https://t.co/pQsnqOkrIS"
6,65508509a86bf372d4391d53,hack_git,2023-11-07T07:58:00.000Z,1721799144572882956,"{issues=0, cloneDir=./data/CVE-2023-41425, ownerName=prodigiousMind, repoName=CVE-2023-41425, stars=5, forks=0}","CVE-2023-41425

Cross Site Scripting vulnerability in Wonder CMS v.3.2.0 thru v.3.4.2 allows a remote attacker to execute arbitrary code via a crafted script uploaded to the installModule component.

https://t.co/5lEh7QOoUM

#cve #cybersecurity #infosec https://t.co/o2gFiUZPlN"
7,6550850da86bf372d4391d54,hack_git,2023-11-06T19:45:00.000Z,1721614679166857652,"{cloneDir=./data/CVE-2023-45158, ownerName=Evan-Zhangyf, repoName=CVE-2023-45158, stars=2, forks=1, issues=0}","CVE-2023-45158

web2py notifySendHandler os command injection

https://t.co/fAPZeoRVgi

#cve #cybersecurity #infosec https://t.co/6rbi4dZLDI"
8,65508510a86bf372d4391d55,hack_git,2023-11-06T17:04:00.000Z,1721574162559599095,"{cloneDir=./data/CVE-2022-0847-eBPF, ownerName=h4ckm310n, repoName=CVE-2022-0847-eBPF, stars=3, forks=0, issues=0}","CVE-2022-0847-eBPF

An eBPF program to detect and defense attacks on CVE-2022-0847 (DirtyPipe)

https://t.co/gobdepq6gb

#cve #cybersecurity #infosec https://t.co/Gbsj5zwGGf"
9,65508512a86bf372d4391d56,0DayCyberSec,2023-11-06T11:03:01.000Z,1721483319882240485,"{ownerName=X1r0z, repoName=ActiveMQ-RCE, stars=140, forks=16, issues=2, cloneDir=./data/ActiveMQ-RCE}","🔥CVE-2023-46604🔥: Apache ActiveMQ RCE through unauthenticated deserialization

PoC bellow:
https://t.co/0DfCsjvbwC

#Pentest #CVE #Apache"
10,65508514a86bf372d4391d57,TodayCyberNews,2023-11-06T07:36:50.000Z,1721431431283691650,"{forks=7, issues=0, cloneDir=./data/CVE-2023-22518, ownerName=sanjai-AK47, repoName=CVE-2023-22518, stars=20}","Confluence CVE-2023-22518
An Exploitation tool to exploit the confluence server that are vulnerable to CVE-2023-22518 Improper Authorization Vulnerability

https://t.co/ta0IxopYVs

#confluence #cve #bugbounty https://t.co/FumZa2qJyk"
